NAME;URL;DATE;ABI;GRAMMAR_JSON;EXTERNAL_SCANNER;DOWNLOAD
fennel;https://github.com/alexmozaidze/tree-sitter-fennel;2025-07-18;14;true;true;false
fidl;https://github.com/google/tree-sitter-fidl;2024-02-26;14;true;false;false
firrtl;https://github.com/tree-sitter-grammars/tree-sitter-firrtl;2024-04-20;14;true;true;false
fish;https://github.com/ram02z/tree-sitter-fish;2025-06-13;14;true;true;false
fluentbit;https://github.com/sh-cho/tree-sitter-fluentbit;2025-07-21;14;true;false;false
foam;https://github.com/FoamScience/tree-sitter-foam;2024-11-10;14;true;true;false
formula;https://github.com/siraben/tree-sitter-formula;2022-05-05;13;true;false;false
forth;https://github.com/AlexanderBrevig/tree-sitter-forth;2023-11-03;14;true;false;false
fortran;https://github.com/stadelmanma/tree-sitter-fortran;2025-07-08;15;true;true;false
fsh;https://github.com/mgramigna/tree-sitter-fsh;2024-04-27;14;true;false;false
fsharp;https://github.com/baronfel/tree-sitter-fsharp;2023-02-13;13;true;false;false
fsharp;https://github.com/ionide/tree-sitter-fsharp;2025-07-05;15;true;true;false
fsharp_signature;https://github.com/ionide/tree-sitter-fsharp;2025-07-05;14;true;true;false
func;https://github.com/akifoq/tree-sitter-func;2022-04-02;13;true;false;false
func;https://github.com/tree-sitter-grammars/tree-sitter-func;2024-04-27;14;true;false;false
fusion;https://gitlab.com/jirgn/tree-sitter-fusion.git;2021-12-29;13;true;true;false
gap;https://github.com/gap-system/tree-sitter-gap;2025-04-08;14;true;true;false
gaptst;https://github.com/gap-system/tree-sitter-gaptst;2024-12-27;14;true;true;false
gdscript;https://github.com/PrestonKnopp/tree-sitter-gdscript;2025-07-25;15;true;true;false
gdshader;https://github.com/GodOfAvacyn/tree-sitter-gdshader;2024-02-22;14;true;false;false
gemini;https://git.sr.ht/~nbsp/tree-sitter-gemini;2023-11-28;14;true;false;false
gemtext;https://github.com/pebbe/tree-sitter-gemtext;2024-12-14;14;true;false;false
ghccore;https://github.com/bgamari/tree-sitter-ghc-core;2023-01-30;-;false;false;false
git_commit;https://github.com/the-mikedavis/tree-sitter-git-commit;2025-06-27;14;true;false;false
git_config;https://github.com/the-mikedavis/tree-sitter-git-config;2025-05-11;14;true;false;false
git_rebase;https://github.com/the-mikedavis/tree-sitter-git-rebase;2024-07-22;14;true;false;false
gitattributes;https://github.com/tree-sitter-grammars/tree-sitter-gitattributes;2025-05-28;14;true;false;false
gitcommit;https://github.com/gbprod/tree-sitter-gitcommit;2025-03-13;14;true;true;false
gitignore;https://github.com/shunsambongi/tree-sitter-gitignore;2022-05-04;13;true;false;true
gleam;https://github.com/gleam-lang/tree-sitter-gleam;2025-07-21;15;true;true;false
glimmer;https://github.com/ember-tooling/tree-sitter-glimmer;2024-08-20;14;true;true;false
glimmer_javascript;https://github.com/NullVoxPopuli/tree-sitter-glimmer-javascript;2025-04-01;14;true;true;false
glimmer_typescript;https://github.com/NullVoxPopuli/tree-sitter-glimmer-typescript;2025-04-01;14;true;true;false
glsl;https://github.com/tree-sitter-grammars/tree-sitter-glsl;2025-03-16;14;true;false;false
gn;https://github.com/tree-sitter-grammars/tree-sitter-gn;2023-10-22;14;true;true;false
gnuplot;https://github.com/dpezto/tree-sitter-gnuplot;2024-12-23;14;true;false;false
go;https://github.com/tree-sitter/tree-sitter-go;2025-01-30;14;true;false;maybe
goctl;https://github.com/chaozwn/tree-sitter-goctl;2024-08-14;14;true;false;false
godot_resource;https://github.com/PrestonKnopp/tree-sitter-godot-resource;2025-05-27;14;true;true;false
gomod;https://github.com/camdencheek/tree-sitter-go-mod;2025-01-12;14;true;false;false
gosum;https://github.com/tree-sitter-grammars/tree-sitter-go-sum;2025-07-09;14;true;false;false
gotmpl;https://github.com/dannylongeuay/tree-sitter-go-template;2022-07-19;13;true;false;false
gotmpl;https://github.com/ngalaiko/tree-sitter-go-template;2025-01-29;14;true;false;false
gowork;https://github.com/omertuc/tree-sitter-go-work;2022-10-04;13;true;false;false
gpg;https://github.com/tree-sitter-grammars/tree-sitter-gpg-config;2025-07-19;15;true;false;false
graphql;https://github.com/bkegley/tree-sitter-graphql;2021-05-10;13;true;false;false
gren;https://github.com/MaeBrooks/tree-sitter-gren;2025-05-03;14;true;true;false
groovy;https://github.com/Decodetalkers/tree-sitter-groovy;2024-05-16;-;false;false;false
groovy;https://github.com/murtaza64/tree-sitter-groovy;2025-01-22;14;true;false;false
groq;https://github.com/ajrussellaudio/tree-sitter-groq;2025-07-18;15;true;false;false
gstlaunch;https://github.com/theHamsta/tree-sitter-gstlaunch;2024-04-06;14;true;false;false
gularen;https://github.com/noorwachid/tree-sitter-gularen;2025-01-17;14;true;true;false
hack;https://github.com/slackhq/tree-sitter-hack;2025-01-22;13;true;true;false
hare;https://github.com/tree-sitter-grammars/tree-sitter-hare;2024-07-07;14;true;false;false
haskell;https://github.com/tree-sitter/tree-sitter-haskell;2025-01-31;14;true;true;false
haskell_persistent;https://github.com/MercuryTechnologies/tree-sitter-haskell-persistent;2023-09-18;14;true;true;false
haxe;https://github.com/vantreeseba/tree-sitter-haxe;2024-09-18;14;true;true;false
hcl;https://github.com/tree-sitter-grammars/tree-sitter-hcl;2025-06-15;15;true;true;false
heex;https://github.com/connorlay/tree-sitter-heex;2024-12-15;14;true;false;false
helm;https://github.com/ngalaiko/tree-sitter-go-template;2025-01-29;14;true;false;false
helma;https://github.com/kevinkeckeis/tree-sitter-helma;2023-02-15;14;true;false;false
hjson;https://github.com/winston0410/tree-sitter-hjson;2021-08-02;13;true;false;false
hlsl;https://github.com/tree-sitter-grammars/tree-sitter-hlsl;2025-03-23;14;true;true;false
hlsplaylist;https://github.com/Freed-Wu/tree-sitter-hlsplaylist;2024-08-04;14;true;false;false
hocon;https://github.com/antosha417/tree-sitter-hocon;2022-11-07;14;true;false;false
